日期,连云港low,连云港high,连云港ave,青岛港low,青岛港high,青岛港ave,三门峡low,三门峡high,三门峡ave,滨州low,滨州high,滨州ave,吕梁low,吕梁high,吕梁ave,百色low,百色high,百色ave,贵阳low,贵阳high,贵阳ave,乌鲁木齐low,乌鲁木齐high,乌鲁木齐ave,内蒙古low,内蒙古high,内蒙古ave
2021-04-01,2450,2490,2470,2450,2490,2470,2310,2350,2330,2320,2340,2330,2330,2360,2345,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-02,2450,2490,2470,2450,2490,2470,2310,2350,2330,2330,2350,2340,2330,2360,2345,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-06,2450,2490,2470,2450,2490,2470,2310,2350,2330,2330,2350,2340,2330,2360,2345,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-07,2450,2490,2470,2450,2490,2470,2330,2360,2345,2340,2370,2355,2330,2360,2345,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-08,2450,2490,2470,2450,2490,2470,2330,2360,2345,2340,2370,2355,2330,2360,2345,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-09,2450,2490,2470,2450,2490,2470,2330,2360,2345,2340,2370,2355,2330,2360,2345,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-12,2450,2490,2470,2450,2490,2470,2330,2360,2345,2340,2370,2355,2330,2360,2345,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-13,2450,2490,2470,2450,2490,2470,2330,2360,2345,2340,2370,2355,2330,2360,2345,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-14,2450,2490,2470,2450,2490,2470,2330,2360,2345,2340,2370,2355,2330,2360,2345,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-15,2450,2490,2470,2450,2490,2470,2330,2360,2345,2340,2370,2355,2330,2360,2345,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-16,2450,2490,2470,2450,2490,2470,2340,2370,2355,2350,2380,2365,2350,2380,2365,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-19,2450,2490,2470,2450,2490,2470,2340,2370,2355,2350,2380,2365,2350,2380,2365,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-20,2450,2490,2470,2450,2490,2470,2340,2370,2355,2350,2380,2365,2350,2380,2365,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-21,2450,2490,2470,2450,2490,2470,2340,2380,2360,2350,2390,2370,2350,2340,2375,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-22,2420,2460,2440,2420,2460,2440,2340,2380,2360,2350,2390,2370,2350,2340,2375,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-23,2420,2460,2440,2420,2460,2440,2340,2380,2360,2350,2390,2370,2350,2340,2375,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-25,2420,2460,2440,2420,2460,2440,2340,2380,2360,2350,2390,2370,2350,2340,2375,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-26,2420,2460,2440,2420,2460,2440,2360,2400,2380,2350,2390,2370,2350,2400,2375,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-27,2420,2460,2440,2420,2460,2440,2360,2400,2380,2350,2390,2370,2350,2400,2375,2330,2370,2350,2330,2370,2350,2800,2840,2820,2570,2610,2590
2021-04-28,2420,2460,2440,2420,2460,2440,2360,2400,2380,2360,2400,2380,2350,2410,2380,2340,2380,2360,2350,2370,2360,2800,2840,2820,2570,2610,2590
均价,,,2461.0,,,2461.0,,,2352.5,,,2359.5,,,2358.8,,,2350.5,,,2350.5,,,2820.0,,,2590.0
